ID-2996,5,3,1,26,1,5.56
ID-2966,2,3,1,5,0,4.42
ID-2032,1,5,0,6,0,4.42
ID-1158,12,0,1,7,0,5.07
ID-2888,5,9,1,30,0,5.34
ID-2980,7,11,1,41,0,6.32
ID-1038,20,0,0,6,1,5.16
ID-1170,10,0,0,11,1,4.86
ID-1236,11,2,0,6,0,5.11
ID-1058,8,5,0,11,0,5.06
ID-1080,10,0,0,11,0,4.72
ID-2862,8,2,0,6,0,4.8
ID-1172,4,1,0,3,0,4.65
ID-2838,3,7,1,9,1,5.08
ID-2866,2,3,0,2,1,4.25
ID-2858,1,1,0,4,0,3.47
ID-1186,7,0,0,3,1,4.44
ID-2904,2,1,0,4,0,3.81
ID-1218,9,0,0,0,0,4.51
ID-2854,0,2,1,1,0,3.09
ID-2882,1,7,0,3,0,4.51
ID-1260,9,0,0,10,0,4.84
ID-1220,24,2,0,26,1,6.18
ID-2852,3,11,1,18,0,5.4
ID-1068,7,0,0,2,0,4.68
ID-1176,12,2,0,11,1,4.92
ID-2944,1,7,0,4,0,4.03
ID-1048,5,0,0,2,0,3.26
ID-1086,2,0,0,1,0,3.4
ID-1214,13,0,1,3,0,4.45
ID-2938,5,13,1,19,0,5.49
ID-2020,1,3,0,10,0,4.68
ID-2936,2,2,0,7,0,4.39
ID-2798,6,4,1,8,0,4.9
ID-1148,8,0,0,5,0,4.45
ID-2846,2,4,0,2,0,4.8
ID-1040,17,1,1,2,0,5.05
ID-1050,14,1,0,9,1,4.95
ID-1250,4,0,0,5,1,3.93
ID-1140,13,1,0,0,0,4.62
ID-2926,2,4,0,4,0,4.29
ID-2878,3,3,1,3,0,4.81
ID-1240,11,3,1,13,0,5.47
ID-2892,2,3,0,1,1,4.2
ID-2832,10,1,0,6,0,4.6
ID-1070,6,0,0,5,0,3.91
ID-1090,12,0,0,2,0,4.66
ID-1198,7,0,0,0,0,4.26
ID-2816,10,8,1,10,0,5.41
ID-2864,5,2,0,2,0,3.76
